ISDS_signature;MP17 Interferon/MHC-II (I);MP18 Interferon/MHC-II (II);KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;Hs_ESC_Assou;Hs_ESC_Wong;SC_Plurinet_computational;ES_exp1_benporath
;;;PDIA3;BXDC1;EBNA1BP2;FOXO4;KLKB1
;;;PSME1;BZW1;ECHS1;FUBP1;KPNA2
;;;PSME2;TASOR2;EEF1E1;FUS;KRT8
;;;PSME3;PSTK;EEF2;GADD45A;LCK
;;;RFX5;PPP6R3;EIF2S2;GAR1;LGALS8
;;;RFXANK;HIKESHI;EIF2S3;GDF9;EPCAM
;;;RFXAP;DDIAS;EIF3S10;GEMIN6;M6PR
;;;TAP1;INTS13;EIF3S12;GEMIN7;MAN2A1
;;;TAP2;OBI1;EIF3S2;GMNN;MARS
;;;TAPBP;DNAAF2;EIF3S6IP;GMPS;MAT2A
;;;;MIS18BP1;EIF4A1;GNL3;MCM2
;;;;VRTN;EIF4B;GOT2;MCM3
;;;;HAUS4;EIF4EBP1;GPRIN2;MCM4
;;;;RSL24D1;ELOVL6;GRB7;MCM5
;;;;JPT2;ENO1;GTF2H2;MCM6
;;;;C1QBP;ERP29;HDAC1;MCM7
;;;;C1QDC1;ETFA;HDAC2;MFGE8
;;;;AKIRIN1;EXO1;HIST1H2BC;MGST1
;;;;DESI2;EXOSC7;HMGA1;MICB
;;;;COA7;FAM136A;HMGB1;MRE11A
;;;;THEMIS2;FAM60A;HMMR;MSH2
;;;;FAM83D;FARSA;HNRPAB;NUDT1
;;;;CCM2L;FBL;HNRPK;MTHFD1
;;;;ESF1;FDPS;HPRT1;NASP
;;;;MGME1;FGFR1;HSP90AB1;NFYB
;;;;MIS18A;FH;HSPA14;NODAL
;;;;CNOT11;FLJ20105;HSPA2;NPM1
;;;;FZD5;G3BP1;HSPA8;NTHL1
;;;;NDUFAF7;GARS;HSPA9B;NTS
;;;;ABRACL;GART;HSPD1;OAZ2
;;;;CENPQ;GEMIN6;HSPE1;ORC1
;;;;ARMT1;GJA1;HSPH1;PAK1
;;;;NDUFAF4;GLDC;ITGB3BP;PCDH1
;;;;TDRP;GLO1;KIT;PDCD2
;;;;ABHD17B;GMNN;KPNA2;PDK1
;;;;CA11;GNA14;KPNB1;PFAS
;;;;CABLES1;GNL3;LCK;PIK3CB
;;;;CACHD1;GNPDA1;LRIF1;PLCB3
;;;;CACNA2D3;GSPT2;LSM1;PMAIP1
;;;;CADPS2;GTSE1;LSM3;EXOSC9
;;;;CALB1;HADH;LSM4;PNN
;;;;CALU;HAT1;LSM5;PODXL
;;;;CARHSP1;HDAC1;LSM6;POLE2
;;;;CASP3;HELLS;LSM7;POU5F1
;;;;CBS;HMGB2;MATK;PPM1B
;;;;CBX3;HN1;MBD2;PPP2R1B
;;;;CBX5;HNRNPA1;MCM10;PPP2R2B
;;;;CCAR1;HNRNPL;MCM2;PRIM1
;;;;CCDC5;HNRPAB;MCM3;PRIM2
;;;;CCKBR;HNRPK;MCM4;PRKX
;;;;CCL26;HPRP8BP;MCM5;PRPS1
;;;;CCNA2;HRMT1L3;MCM6;PTPN2
;;;;CCNB1;HSPA14;MIZ1;PTPRZ1
;;;;CCNC;HSPA9B;MNAT1;RAB3B
;;;;CCRN4L;HSPE1;MPP6;RARRES2
;;;;CCT5;IARS;MRE11A;RBBP8
;;;;CCT8;IPO9;MRPS12;RFC3
;;;;CD200;ITGB4BP;MSH2;RFC4
;;;;CD24;KIF11;MSH3;ABCE1
;;;;CD2AP;KIF20A;MSH6;ROBO1
;;;;CD9;KIF22;MT1G;RPS24
;;;;CDA;KIF23;MTHFD1;RRM2
;;;;CDC2;KIF4A;MUTYH;SALL2
;;;;CDC20;KNTC2;MYB;SALL1
;;;;CDC25A;KPNA2;MYBBP1A;SCNN1A
;;;;CDC6;KPNA6;MYBL2;SFRP1
;;;;CDC7;KRAS;MYC;SFRP2
;;;;CDCA5;LMNB1;MYST2;PSIP1
;;;;CDCA7;LOC134492;NACC1;SRSF7
;;;;CDH1;LSM10;NANOG;ST6GAL1
;;;;CDH6;LSM2;NCL;SLC6A8
;;;;CDT1;LSM4;NFKBIB;SLC16A1
;;;;CDYL;LSM5;NLE1;SMS
;;;;CEB1;LYPLA1;NME1;SNRPA
;;;;CEBPZ;MAD2L1;NME2;SNRPN
;;;;CECR1;MAPK13;NOC2L;SORL1
;;;;CECR6;MCM2;NOL5A;SOX2
;;;;CENPA;MCM3;NOLC1;SSB
;;;;CENPE;MCM4;NOP58;TDGF1
;;;;CENPF;MCM5;NP;TEAD4
;;;;CENPH;MCM7;NPM1;TERF1
;;;;CER1;MID1IP1;NPPB;TFAM
;;;;CGI-115;MKI67IP;NTHL1;TIA1
;;;;CGI-30;MRPL11;NUDT1;TMPO
;;;;CGI-48;MRPL12;NUP153;TNNT1
;;;;CHAF1A;MRPL13;NUP50;UGP2
;;;;CHAF1B;MRPL15;ORC1L;UNG
;;;;CHD1;MRPL16;ORC2L;VSNL1
;;;;CHEK1;MRPL37;ORC6L;ZIC2
;;;;CHEK2;MRPL39;OTX2;ZIC3
;;;;CHGA;MRPL4;PA2G4;ZNF195
;;;;CHORDC1;MRPS17;PAK1;LRP8
;;;;CHST4;MRPS18B;PAK3;FZD5
;;;;CHST7;MRPS2;PARP1;DEK
;;;;CHST8;MRPS28;PASK;FXR1
;;;;CIB2;MRPS30;PBX1;USP9X
;;;;CISD1;MRPS36;PCNA;FZD7
;;;;CKAP2;MRTO4;PCYT1B;UTF1
;;;;CKAP5;MSH2;PELP1;IFITM1
;;;;CKMT1;MTF2;PFDN6;TMEFF1
;;;;CKS1B;MTHFD2;PFN1;RUVBL1
;;;;CKS2;MYBL2;PHB;PLPP1
;;;;CLDN10;MYC;PHC1;USO1
;;;;CLDN6;NAP1L1;PHF10;ADAM23
;;;;CLDN7;NASP;PHGDH;TRIM24
;;;;CLIC4;NCAPD2;PLSCR1;HESX1
;;;;CNOT7;NCBP2;PMAIP1;PROM1
;;;;CNTNAP2;NCL;PMF1;FUBP1
;;;;COBL;NDUFA11;PNN;DDX18
;;;;COCH;NDUFA9;POLD1;MAP7
;;;;COL18A1;NDUFAB1;POLD2;CLDN6
;;;;COQ3;NDUFB10;POLG2;SYNGR3
;;;;COX6A1;NDUFB7;POLQ;BUB3
;;;;CPSF5;NDUFB8;POLR1C;DDX21
;;;;CRABP1;NDUFS2;POLR1D;DCLK1
;;;;CRABP2;NEK2;POP1;AURKB
;;;;CRKL;NHP2;POP5;NOLC1
;;;;CRLF1;NIP7;POP7;PTTG1
;;;;CRMP1;NIPSNAP1;POU5F1;MED14
;;;;CROP;NLN;PPAN;CER1
;;;;CRSP2;NME2;PPAP2C;HOMER1
;;;;CRYM;NME4;PPID;THEMIS2
;;;;CSE1L;NOLA3;PPM1B;GDF3
;;;;CSRP2;NONO;PRMT5;NFE2L3
;;;;CST1;NOP2;PRNP;DLGAP5
;;;;CTBP2;NSBP1;PSIP1;G3BP2
;;;;CTCF;NT5DC2;PSMA3;RABGAP1L
;;;;CTH;NTHL1;PSMA6;SRA1
;;;;CTPS2;NUP107;PSMD11;CHAF1A
;;;;CTSC;NUSAP1;PSME3;DNAJB6
