ISDS_signature;MP17 Interferon/MHC-II (I);MP18 Interferon/MHC-II (II);KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;Hs_ESC_Assou;Hs_ESC_Wong;SC_Plurinet_computational;ES_exp1_benporath
;;;;MOSC1;;;
;;;;MRE11A;;;
;;;;MRPL1;;;
;;;;MRPL11;;;
;;;;MRPL12;;;
;;;;MRPL15;;;
;;;;MRPL37;;;
;;;;MRPL42;;;
;;;;MRPS30;;;
;;;;MRPS9;;;
;;;;MRS2L;;;
;;;;MSH2;;;
;;;;MSH6;;;
;;;;MT1F;;;
;;;;MT1H;;;
;;;;MT1X;;;
;;;;MTA3;;;
;;;;MTB;;;
;;;;MTF2;;;
;;;;MTHFD1;;;
;;;;MTHFD2;;;
;;;;MTIF2;;;
;;;;MYB;;;
;;;;MYBL2;;;
;;;;MYC;;;
;;;;MYCN;;;
;;;;MYEF2;;;
;;;;MYL7;;;
;;;;MYO10;;;
;;;;MYO5C;;;
;;;;MYOHD1;;;
;;;;MYRIP;;;
;;;;MYST2;;;
;;;;NALP2;;;
;;;;NANOG;;;
;;;;NAP1L1;;;
;;;;NAP1L2;;;
;;;;NAP1L3;;;
;;;;NARG1;;;
;;;;NARG2;;;
;;;;NASP;;;
;;;;NBR2;;;
;;;;NCL;;;
;;;;NCOA6IP;;;
;;;;NCRMS;;;
;;;;NDUFA4;;;
;;;;NEFL;;;
;;;;NFE2L3;;;
;;;;NFYB;;;
;;;;NIPBL;;;
;;;;NIPSNAP1;;;
;;;;NLGN4X;;;
;;;;NLGN4Y;;;
;;;;NLN;;;
;;;;NME1;;;
;;;;NME2;;;
;;;;NMU;;;
;;;;NOC3L;;;
;;;;NODAL;;;
;;;;NOL5A;;;
;;;;NOLA3;;;
;;;;NOLC1;;;
;;;;NOVA1;;;
;;;;NP;;;
;;;;NPM1;;;
;;;;NPM3;;;
;;;;NPTX2;;;
;;;;NR6A1;;;
;;;;NSD1;;;
;;;;NTHL1;;;
;;;;NTS;;;
;;;;NUBP1;;;
;;;;NUCKS1;;;
;;;;NUDT1;;;
;;;;NUDT15;;;
;;;;NUDT5;;;
;;;;NUFIP1;;;
;;;;NUP107;;;
;;;;NUP160;;;
;;;;NUP205;;;
;;;;NUP35;;;
;;;;NUP37;;;
;;;;NUP54;;;
;;;;NUP62;;;
;;;;NUP88;;;
;;;;NUSAP1;;;
;;;;OAZ2;;;
;;;;OAZIN;;;
;;;;OCLN;;;
;;;;OIP5;;;
;;;;OLFM1;;;
;;;;ORC1L;;;
;;;;ORC2L;;;
;;;;ORC3L;;;
;;;;OSBPL9;;;
;;;;OTX2;;;
;;;;PAI-RBP1;;;
;;;;PAICS;;;
;;;;PAK1;;;
;;;;PAK1IP1;;;
;;;;PANK2;;;
;;;;PARP1;;;
;;;;PASK;;;
;;;;PAWR;;;
;;;;PAXIP1L;;;
;;;;PBEF1;;;
;;;;PBX1;;;
;;;;PCDH1;;;
;;;;PCNA;;;
;;;;PCNT1;;;
;;;;PDCD2;;;
;;;;PDE6G;;;
;;;;PDE9A;;;
;;;;PDK1;;;
;;;;PDPN;;;
;;;;PDZK4;;;
;;;;PFAS;;;
;;;;PFDN4;;;
;;;;PFN1;;;
;;;;PGK1;;;
;;;;PGM1;;;
;;;;PHF17;;;
;;;;PHIP;;;
;;;;PIF1;;;
;;;;PIG8;;;
;;;;PIGW;;;
;;;;PIK3CB;;;
;;;;PIM1;;;
;;;;PIM2;;;
;;;;PIPOX;;;
;;;;PITPNC1;;;
;;;;PITX2;;;
;;;;PKD2;;;
;;;;PKP4;;;
;;;;PLA2G3;;;
;;;;PLCB3;;;
;;;;PLCL2;;;
;;;;PLK4;;;
;;;;PLP1;;;
;;;;PLS1;;;
;;;;PLS3;;;
;;;;PMAIP1;;;
;;;;PNMT;;;
;;;;PNN;;;
;;;;PODXL;;;
;;;;POLA;;;
;;;;POLD1;;;
;;;;POLE2;;;
;;;;POLR1B;;;
;;;;POLR2D;;;
;;;;POLR3G;;;
;;;;POLR3K;;;
;;;;POU2F1;;;
;;;;POU5F1;;;
;;;;PPAP2A;;;
;;;;PPAP2C;;;
;;;;PPAT;;;
;;;;PPM1B;;;
;;;;PPP1CC;;;
;;;;PPP1R16B;;;
;;;;PPP1R1A;;;
;;;;PPP2R1B;;;
;;;;PPP2R2B;;;
;;;;PRDM14;;;
;;;;PRDX1;;;
;;;;PRDX2;;;
;;;;PRIM1;;;
;;;;PRIM2A;;;
;;;;PRKAA2;;;
;;;;PRKCB1;;;
;;;;PRKCI;;;
;;;;PRKCQ;;;
;;;;PRKDC;;;
;;;;PRKX;;;
;;;;PRODH;;;
;;;;PROM1;;;
;;;;PRPS1;;;
;;;;PRR6;;;
;;;;PSIP1;;;
;;;;PSMA2;;;
;;;;PSMA3;;;
;;;;PSME3;;;
;;;;PTBP1;;;
;;;;PTK7;;;
;;;;PTPN2;;;
;;;;PTPRG;;;
;;;;PTPRZ1;;;
;;;;PTTG1;;;
;;;;PUNC;;;
;;;;PUS1;;;
;;;;PVRL3;;;
;;;;PWP2H;;;
;;;;PYCR2;;;
;;;;Pfs2;;;
;;;;RAB3B;;;
;;;;RABGAP1L;;;
;;;;RAD51;;;
;;;;RAD51AP1;;;
;;;;RAD54B;;;
;;;;RAM2;;;
;;;;RAMP;;;
;;;;RANBP5;;;
;;;;RARRES2;;;
;;;;RASL11B;;;
;;;;RBBP6;;;
;;;;RBBP8;;;
;;;;RBM13;;;
;;;;RBM14;;;
;;;;RBM28;;;
;;;;RBM39;;;
;;;;RBPMS2;;;
;;;;RBPSUH;;;
;;;;RECQL;;;
;;;;REPRIMO;;;
;;;;RET;;;
;;;;RFC2;;;
;;;;RFC3;;;
;;;;RFC4;;;
;;;;RFC5;;;
;;;;RGMA;;;
;;;;RGS17;;;
;;;;RIF1;;;
;;;;RMI1;;;
;;;;RNASEH2A;;;
;;;;RNF12;;;
;;;;RNF125;;;
;;;;RNF138;;;
;;;;RNF41;;;
;;;;RNMT;;;
;;;;RNU3IP2;;;
;;;;ROBO1;;;
;;;;ROR1;;;
;;;;RPA3;;;
;;;;RPL12;;;
;;;;RPL24;;;
;;;;RPL39L;;;
;;;;RPL4;;;
;;;;RPL6;;;
;;;;RPL7;;;
;;;;RPLP0;;;
;;;;RPS19;;;
;;;;RPS2;;;
;;;;RPS24;;;
;;;;RRAS2;;;
;;;;RRM1;;;
;;;;RRM2;;;
;;;;RRS1;;;
;;;;RUVBL1;;;
;;;;SACS;;;
;;;;SALL1;;;
;;;;SALL2;;;
;;;;SALL3;;;
;;;;SALL4;;;
;;;;SCG3;;;
;;;;SCGB3A2;;;
;;;;SCLY;;;
;;;;SCNN1A;;;
;;;;SEC22C;;;
;;;;SEC5L1;;;
;;;;SEMA3A;;;
;;;;SEMA4C;;;
;;;;SEMA5B;;;
;;;;SEMA6A;;;
;;;;SENP3;;;
;;;;SEPHS1;;;
;;;;SERPINB9;;;
;;;;SERPINH1;;;
;;;;SET;;;
;;;;SF3A1;;;
;;;;SFRP1;;;
;;;;SFRP2;;;
;;;;SFRS1;;;
;;;;SFRS11;;;
;;;;SFRS18;;;
;;;;SFRS7;;;
;;;;SIAT1;;;
;;;;SIL;;;
;;;;SILV;;;
;;;;SIP;;;
;;;;SIRT1;;;
;;;;SKIL;;;
;;;;SKP2;;;
;;;;SLC13A3;;;
;;;;SLC16A1;;;
;;;;SLC1A5;;;
;;;;SLC25A29;;;
;;;;SLC29A1;;;
;;;;SLC29A2;;;
;;;;SLC2A3;;;
;;;;SLC38A1;;;
;;;;SLC39A10;;;
;;;;SLC3A2;;;
;;;;SLC4A11;;;
;;;;SLC5A6;;;
;;;;SLC6A8;;;
;;;;SLC7A3;;;
;;;;SLC7A8;;;
;;;;SLD5;;;
;;;;SMARCA5;;;
;;;;SMC2L1;;;
;;;;SMC6L1;;;
;;;;SMS;;;
;;;;SNRPA;;;
;;;;SNRPA1;;;
;;;;SNRPD2;;;
;;;;SNRPD3;;;
;;;;SNRPF;;;
;;;;SNRPN;;;
;;;;SNTB1;;;
;;;;SORD;;;
;;;;SORL1;;;
;;;;SOX11;;;
;;;;SOX2;;;
;;;;SOX3;;;
;;;;SPAG5;;;
;;;;SPRY1;;;
;;;;SPRY4;;;
;;;;SRP72;;;
;;;;SRRM1;;;
;;;;SS18L2;;;
;;;;SSB;;;
;;;;SSBP1;;;
;;;;STC1;;;
;;;;STRBP;;;
;;;;SUPT16H;;;
;;;;SWAP70;;;
;;;;SYNCOILIN;;;
;;;;SYNGR3;;;
;;;;SYT6;;;
;;;;Spc25;;;
;;;;TA-LRRP;;;
;;;;TA-PP2C;;;
;;;;TACC3;;;
;;;;TACSTD1;;;
;;;;TAF4B;;;
;;;;TAF9L;;;
;;;;TARS;;;
;;;;TCEA1;;;
;;;;TCF7L1;;;
;;;;TD-60;;;
;;;;TDGF1;;;
;;;;TEAD4;;;
;;;;TEBP;;;
;;;;TERF1;;;
;;;;TFAM;;;
;;;;TFAP2C;;;
;;;;TFRC;;;
;;;;TGIF;;;
;;;;THOC1;;;
;;;;THRAP6;;;
;;;;THY1;;;
;;;;THY28;;;
;;;;TIA1;;;
;;;;TIMP4;;;
;;;;TIPIN;;;
;;;;TK1;;;
;;;;TKT;;;
;;;;TMEFF1;;;
;;;;TMPO;;;
;;;;TMSL8;;;
;;;;TNFRSF8;;;
;;;;TNNI3;;;
;;;;TNNT1;;;
;;;;TNPO1;;;
;;;;TNPO3;;;
;;;;TNRC9;;;
;;;;TOMM40;;;
;;;;TOP2A;;;
;;;;TPD52;;;
;;;;TPM1;;;
;;;;TPM3;;;
;;;;TPT;;;
;;;;TPX2;;;
;;;;TRA16;;;
;;;;TRERF1;;;
;;;;TRIM14;;;
;;;;TRIM2;;;
;;;;TRIM22;;;
;;;;TRIM24;;;
;;;;TRIM36;;;
;;;;TRIP8;;;
;;;;TSC;;;
;;;;TTC19;;;
;;;;TTF2;;;
;;;;TTK;;;
;;;;TUBA1;;;
;;;;TUBB;;;
;;;;TUBB2;;;
;;;;TUBB6;;;
;;;;TXNDC;;;
;;;;UACA;;;
;;;;UBA2;;;
;;;;UBE1C;;;
;;;;UBE2C;;;
;;;;UCHL1;;;
;;;;UGCGL1;;;
;;;;UGP2;;;
;;;;UGT8;;;
;;;;UNC5D;;;
;;;;UNG;;;
;;;;UNQ470;;;
;;;;UQCRH;;;
;;;;USO1;;;
;;;;USP1;;;
;;;;USP28;;;
;;;;USP32;;;
;;;;USP44;;;
;;;;USP46;;;
;;;;USP9X;;;
;;;;USP9Y;;;
;;;;UTF1;;;
;;;;VANGL2;;;
;;;;VBP1;;;
;;;;VENTX2;;;
;;;;VRK1;;;
;;;;VSNL1;;;
;;;;WBSCR16;;;
;;;;WBSCR17;;;
;;;;WDHD1;;;
;;;;WDR12;;;
;;;;WDR3;;;
;;;;WDR4;;;
;;;;WDR9;;;
;;;;WDSOF1;;;
;;;;WFDC2;;;
;;;;XPO1;;;
;;;;XRCC5;;;
;;;;YBX2;;;
;;;;YTHDF2;;;
;;;;ZBTB3;;;
;;;;ZD52F10;;;
;;;;ZFP42;;;
;;;;ZIC2;;;
;;;;ZIC3;;;
;;;;ZNF117;;;
;;;;ZNF146;;;
;;;;ZNF195;;;
;;;;ZNF198;;;
;;;;ZNF257;;;
;;;;ZNF267;;;
;;;;ZNF273;;;
;;;;ZNF281;;;
;;;;ZNF331;;;
;;;;ZNF398;;;
;;;;ZNF43;;;
;;;;ZNF447;;;
;;;;ZNF505;;;
;;;;ZNF518;;;
;;;;ZNF553;;;
;;;;ZNF567;;;
;;;;ZNF588;;;
;;;;ZNF589;;;
;;;;ZNF614;;;
;;;;ZNF638;;;
;;;;ZNF770;;;
;;;;ZRF1;;;
;;;;ZSCAN10 ;;;
